,scheme_code,scheme_name,date,nav
0,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,07-05-2021,154.19030
1,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,10-05-2021,154.23720
2,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,11-05-2021,154.34100
3,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,12-05-2021,154.33110
4,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,14-05-2021,154.33090
5,119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,07-05-2021,114.67140
6,119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,10-05-2021,114.70630
7,119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,11-05-2021,114.78350
8,119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,12-05-2021,114.77610
9,119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,14-05-2021,114.77600
10,119553,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,07-05-2021,112.57840
11,119553,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,10-05-2021,112.61260
12,119553,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,11-05-2021,112.68840
13,119553,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,12-05-2021,112.68120
14,119553,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,14-05-2021,112.68100
15,108272,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,07-05-2021,160.83370
16,108272,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,10-05-2021,160.87820
17,108272,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,11-05-2021,160.98500
18,108272,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,12-05-2021,160.97330
19,108272,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,14-05-2021,160.97010
20,110282,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,07-05-2021,112.17930
21,110282,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,10-05-2021,112.21030
22,110282,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,11-05-2021,112.28480
23,110282,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,12-05-2021,112.27660
24,110282,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,14-05-2021,112.27440
